 , , , , , , , Efficiency Measurement - Block_Size = Size ; Block_count = Count , , , , , , , 
 , Available (AU) , , , ,Request Size (AU) , , , , Packing Efficiency (%) , , , , Fragmentation (Blocks) , , , , Total Allocs (AU) , 
 BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , 
6,6,6,6, ,13,13,13,13, ,0.8125,0.8125,0.8125,0.8125, ,1,1,1,0, ,26,26,26,0, 
8,8,8,8, ,12,12,12,12, ,0.75,0.75,0.75,0.75, ,2,2,2,0, ,24,24,24,0, 
8,8,8,8, ,11,11,11,11, ,0.75,0.75,0.75,0.75, ,2,2,2,0, ,24,24,24,0, 
29,3,3,3, ,26,12,12,12, ,0.09375,0.90625,0.90625,0.90625, ,1,1,1,0, ,3,29,29,0, 
30,1,1,1, ,26,3,3,3, ,0.0625,0.96875,0.96875,0.96875, ,1,1,1,0, ,2,31,31,0, 
6,6,6,6, ,13,13,13,13, ,0.8125,0.8125,0.8125,0.8125, ,1,1,1,0, ,26,26,26,0, 
9,9,9,9, ,11,11,11,11, ,0.71875,0.71875,0.71875,0.71875, ,2,2,2,0, ,23,23,23,0, 
3,3,3,3, ,10,10,10,10, ,0.90625,0.90625,0.90625,0.90625, ,3,2,2,0, ,29,29,29,0, 
8,8,8,8, ,13,13,13,13, ,0.75,0.75,0.75,0.75, ,2,2,2,0, ,24,24,24,0, 
8,8,8,8, ,11,11,11,11, ,0.75,0.75,0.75,0.75, ,1,1,1,0, ,24,24,24,0, 
 , , , , , , , , , , , , , , , , , , , 
10.9,5.4,5.4,5.4, ,13.3,9.6,9.6,9.6, ,0.559375,0.73125,0.73125,0.73125, ,1.5,1.4,1.4,0.0, 
