 , , , , , , , Efficiency Measurement - Block_Size = Size ; Block_count = Count , , , , , , , 
 , Available (AU) , , , ,Request Size (AU) , , , , Packing Efficiency (%) , , , , Fragmentation (Blocks) , , , , Total Allocs (AU) , 
 BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , 
54,2,2, ,22,5,5, ,0.578125,0.984375,0.984375, ,4,2,2, ,74,126,126, 
27,27,27, ,5,35,35, ,0.7890625,0.7890625,0.7890625, ,7,3,3, ,113,118,118, 
32,32,2, ,24,24,5, ,0.75,0.75,0.984375, ,4,4,1, ,98,98,128, 
40,14,14, ,10,23,23, ,0.6875,0.890625,0.890625, ,5,4,4, ,101,136,136, 
54,1,1, ,25,14,14, ,0.578125,0.9921875,0.9921875, ,4,1,1, ,86,142,142, 
62,28,26, ,34,22,29, ,0.515625,0.78125,0.796875, ,4,3,2, ,72,106,132, 
15,15,15, ,17,17,17, ,0.8828125,0.8828125,0.8828125, ,6,4,4, ,116,116,116, 
44,18,18, ,17,29,29, ,0.65625,0.859375,0.859375, ,5,3,3, ,92,143,143, 
34,11,11, ,20,12,12, ,0.734375,0.9140625,0.9140625, ,5,3,3, ,94,117,117, 
42,9,9, ,33,24,24, ,0.671875,0.9296875,0.9296875, ,6,2,2, ,95,128,128, 
 , , , , , , , , , , , , , , 
40.4,15.7,12.5, ,20.7,20.5,19.3, ,0.684375,0.87734375,0.90234375, ,5.0,2.9,2.5
